"sample_id","1","2","3","4","5","6","7","8"
"01Alz3770",15.3609555,9.33377549999999,6.1334735,20.4607795,40.084056,23.7792855,12.7213625,1.586766
"02Alz3786",30.2597715,12.052824,6.242388,23.5211155,43.7044695,21.73659,19.2026415,1.2188995
"03Alz3778",16.707785,7.217198,5.3989005,28.5482355,41.7230945,17.8006395,7.03900399999999,0.0924460000000004
"04Alz3763",36.689624,13.0256405,6.80456499999999,23.5232255,58.2957405,29.4087035,9.7744365,0.964268499999999
"05Alz3797",36.689624,13.0256405,6.80456499999999,23.5232255,58.2957405,29.4087035,9.7744365,0.964268499999999
"06Alz2152",21.3794025,7.32475450000001,11.5475665,39.5397825,44.056377,18.421291,9.03022799999999,0.595760500000001
"07Alz2792",17.2116715,5.86460400000001,7.3347705,29.1301125,38.705933,16.4737235,12.4517725,0.811755999999998
"08Alz3264",5.38085400000001,4.82249499999999,1.735432,6.69396600000001,26.5563535,23.661298,12.2555735,0.775318499999998
"09Alz3801",16.1929805,5.98444649999999,5.85444550000001,23.0623345,35.5844875,15.701489,13.5355095,1.373227
"10Alz3791",15.8158545,5.6072195,4.112717,19.970852,34.065781,17.677014,12.885223,0.915678
"11Alz1294",10.604175,4.4195365,4.453474,19.375712,43.0634235,21.0543595,11.860402,0.6533755
"12Alz1025",18.846837,6.17831249999999,7.374951,16.4064965,24.8964025,12.3738485,9.91434100000001,1.633358
"13Alz3313",21.041147,6.36192699999999,4.9895795,24.332485,58.5642975,19.634134,14.310709,0.567301000000002
"14Alz3761",14.3081515,7.77981250000002,1.6506235,7.9674995,39.5305065,26.354274,11.7533845,0.616355499999998
"15Alz2605",14.0192655,9.62428899999999,3.169001,12.5696825,43.4405055,24.3025105,14.529905,0.900177499999998
